mlbamid,steamerid,pn,split,proj_season,m_id,firstname,lastname,name,Team,bats,age,BB,K,Single,Double,Triple,HR,BO
542194,10028,0,vL,2018,0-vL-542194,Christian,Bethancourt,Christian Bethancourt,SDN,R,26,0.058926464,0.232258031,0.145435528,0.045135164,0.00219407,0.029149793,0.486900949
542194,10028,1,vL,2018,1-vL-542194,Christian,Bethancourt,Christian Bethancourt,SDN,R,26,0.058613025,0.227243013,0.149823669,0.049209866,0.00219407,0.031030425,0.481885931
572008,10030,0,vL,2018,0-vL-572008,Chris,Owings,Chris Owings,ARI,R,26,0.063230168,0.205403346,0.158170754,0.058905789,0.005926001,0.024321772,0.484042171
572008,10030,1,vL,2018,1-vL-572008,Chris,Owings,Chris Owings,ARI,R,26,0.06406318,0.20585841,0.159821526,0.056268621,0.00488876,0.024346347,0.484753156
571976,10047,0,vL,2018,0-vL-571976,Wil,Myers,Wil Myers,SDN,R,27,0.13510275,0.247395945,0.122676508,0.042335394,0.00329819,0.048767003,0.400424212
571976,10047,1,vL,2018,1-vL-571976,Wil,Myers,Wil Myers,SDN,R,27,0.134364623,0.242411643,0.125921815,0.045811713,0.003274253,0.051336529,0.396879423
502205,10053,0,vL,2018,0-vL-502205,Grant,Green,Grant Green,WAS,R,30,0.055825177,0.205377888,0.18010965,0.052299376,0.002938167,0.013515569,0.489934171
502205,10053,1,vL,2018,1-vL-502205,Grant,Green,Grant Green,WAS,R,30,0.057294261,0.210666589,0.171295149,0.050536476,0.003525801,0.013515569,0.493166155
545358,10059,0,vL,2018,0-vL-545358,Max,Stassi,Max Stassi,HOU,R,27,0.093305155,0.278874135,0.120723465,0.040642185,0.001910789,0.036001697,0.428542574
545358,10059,1,vL,2018,1-vL-545358,Max,Stassi,Max Stassi,HOU,R,27,0.092314375,0.271726368,0.124221523,0.040682625,0.001769249,0.034950257,0.434335602
542513,10067,0,vL,2018,0-vL-542513,Tomas,Telis,Tomas Telis,MIA,B,27,0.043628678,0.12365166,0.194088831,0.044539595,0.004130902,0.011164027,0.578796309
542513,10067,1,vL,2018,1-vL-542513,Tomas,Telis,Tomas Telis,MIA,B,27,0.043257956,0.125759479,0.191599698,0.044158281,0.003527155,0.012625731,0.579071702
542340,10071,0,vL,2018,0-vL-542340,Jonathan,Villar,Jonathan Villar,MIL,B,27,0.087626622,0.265982436,0.150736862,0.048643092,0.002116061,0.023830758,0.421064168
542340,10071,1,vL,2018,1-vL-542340,Jonathan,Villar,Jonathan Villar,MIL,B,27,0.085642644,0.263000988,0.153986312,0.049225681,0.002100715,0.021601249,0.424442412
554429,10099,0,vL,2018,0-vL-554429,Dustin,Ackley,Dustin Ackley,NYA,L,30,0.075128629,0.209591801,0.142573649,0.037991182,0.002134336,0.013232884,0.519347519
554429,10099,1,vL,2018,1-vL-554429,Dustin,Ackley,Dustin Ackley,NYA,L,30,0.074701762,0.208311199,0.143000516,0.038844916,0.002561203,0.011525415,0.521054988
545361,10155,0,vL,2018,0-vL-545361,Mike,Trout,Mike Trout,LAA,R,26,0.218532865,0.174842268,0.128428072,0.049627723,0.004208176,0.061454639,0.362906256
545361,10155,1,vL,2018,1-vL-545361,Mike,Trout,Mike Trout,LAA,R,26,0.224013198,0.170992071,0.126270139,0.050765564,0.004601657,0.064919048,0.358438323
545338,10166,0,vL,2018,0-vL-545338,Nick,Franklin,Nick Franklin,LAA,B,27,0.070011238,0.234765945,0.149154377,0.044898511,0.002663471,0.018644297,0.47986216
545338,10166,1,vL,2018,1-vL-545338,Nick,Franklin,Nick Franklin,LAA,B,27,0.072294213,0.230960987,0.149534873,0.046039999,0.002663471,0.019785785,0.478720673
571740,10199,0,vL,2018,0-vL-571740,Billy,Hamilton,Billy Hamilton,CIN,B,27,0.055229838,0.206506785,0.169948384,0.038278848,0.005935614,0.010757527,0.513343004
571740,10199,1,vL,2018,1-vL-571740,Billy,Hamilton,Billy Hamilton,CIN,B,27,0.054668981,0.199997203,0.173123417,0.039492339,0.006532162,0.009602307,0.516583591
571466,10200,0,vL,2018,0-vL-571466,Tucker,Barnhart,Tucker Barnhart,CIN,B,27,0.078759494,0.182768334,0.163953207,0.044677119,0.001584825,0.016003573,0.512253448
571466,10200,1,vL,2018,1-vL-571466,Tucker,Barnhart,Tucker Barnhart,CIN,B,27,0.078125276,0.177025859,0.167135801,0.046477665,0.001747335,0.014336773,0.515151291
578428,10231,0,vL,2018,0-vL-578428,Jose,Iglesias,Jose Iglesias,DET,R,28,0.06490349,0.110234923,0.180555254,0.058650879,0.002176922,0.01451042,0.568968112
578428,10231,1,vL,2018,1-vL-578428,Jose,Iglesias,Jose Iglesias,DET,R,28,0.06549506,0.115753623,0.17825819,0.056276767,0.001683948,0.014748092,0.567784321
545341,10243,0,vL,2018,0-vL-545341,Randal,Grichuk,Randal Grichuk,SLN,R,26,0.073902118,0.268552386,0.118428221,0.052848608,0.004883926,0.05535286,0.42603188
545341,10243,1,vL,2018,1-vL-545341,Randal,Grichuk,Randal Grichuk,SLN,R,26,0.074672462,0.274699879,0.1164566,0.050828681,0.005061893,0.058172367,0.420108117
474832,10264,0,vL,2018,0-vL-474832,Brandon,Belt,Brandon Belt,SFN,L,30,0.120446954,0.256416771,0.127566719,0.049846586,0.004501366,0.029782381,0.411439223
474832,10264,1,vL,2018,1-vL-474832,Brandon,Belt,Brandon Belt,SFN,L,30,0.120554535,0.255623727,0.12566788,0.050034118,0.003691861,0.035995054,0.408432826
516949,10289,0,vL,2018,0-vL-516949,Hector,Sanchez,Hector Sanchez,SDN,B,28,0.047838609,0.220425591,0.145723763,0.042318769,0.001103968,0.034590994,0.507998306
516949,10289,1,vL,2018,1-vL-516949,Hector,Sanchez,Hector Sanchez,SDN,B,28,0.04747062,0.21564173,0.149035666,0.044158716,0.001103968,0.034958983,0.507630317
542455,10306,0,vL,2018,0-vL-542455,Oswaldo,Arcia,Oswaldo Arcia,SDN,L,27,0.070458948,0.323398655,0.121126057,0.0344378,0.003166694,0.032854453,0.414557392
542455,10306,1,vL,2018,1-vL-542455,Oswaldo,Arcia,Oswaldo Arcia,SDN,L,27,0.070063111,0.31666943,0.125480261,0.035229474,0.003166694,0.03206278,0.417328249
543611,10317,0,vL,2018,0-vL-543611,Danny,Ortiz,Danny Ortiz,PIT,L,28,0.034152646,0.244688579,0.138339833,0.041069638,0.00216156,0.020318663,0.519269081
543611,10317,1,vL,2018,1-vL-543611,Danny,Ortiz,Danny Ortiz,PIT,L,28,0.035449582,0.255064067,0.137907521,0.041069638,0.00216156,0.021183287,0.507164346
542454,10322,0,vL,2018,0-vL-542454,Danny,Santana,Danny Santana,ATL,B,27,0.043227814,0.254856158,0.162386225,0.049993907,0.00375894,0.012028609,0.473748346
542454,10322,1,vL,2018,1-vL-542454,Danny,Santana,Danny Santana,ATL,B,27,0.04285192,0.24658649,0.164265695,0.050745695,0.004134834,0.012404503,0.479010862
542364,10323,0,vL,2018,0-vL-542364,Rafael,Ortega,Rafael Ortega,MIA,L,27,0.06735337,0.162653021,0.171144242,0.036620811,0.004627502,0.006108221,0.551492835
542364,10323,1,vL,2018,1-vL-542364,Rafael,Ortega,Rafael Ortega,MIA,L,27,0.066772895,0.165457629,0.169810169,0.037315343,0.004024623,0.00719992,0.549419421
542303,10324,0,vL,2018,0-vL-542303,Marcell,Ozuna,Marcell Ozuna,SLN,R,27,0.101744504,0.189724434,0.159611714,0.050906315,0.002912975,0.054616597,0.44048346
542303,10324,1,vL,2018,1-vL-542303,Marcell,Ozuna,Marcell Ozuna,SLN,R,27,0.102827044,0.193994701,0.157397973,0.049300473,0.003032009,0.057653098,0.435794701
541608,10327,0,vL,2018,0-vL-541608,Ramon,Cabrera,Ramon Cabrera,,B,28,0.049740827,0.175159777,0.164295836,0.041504656,0.001643913,0.010614863,0.557040128
541608,10327,1,vL,2018,1-vL-541608,Ramon,Cabrera,Ramon Cabrera,,B,28,0.049740827,0.175159777,0.164295836,0.041504656,0.001643913,0.010614863,0.557040128
571681,10329,0,vL,2018,0-vL-571681,Rey,Fuentes,Rey Fuentes,ARI,L,27,0.054059334,0.255684108,0.178832852,0.032441727,0.005473329,0.007342021,0.466166628
571681,10329,1,vL,2018,1-vL-571681,Rey,Fuentes,Rey Fuentes,ARI,L,27,0.054845615,0.25626616,0.179180041,0.031144875,0.004646203,0.007178638,0.466738469
571697,10339,0,vL,2018,0-vL-571697,Scooter,Gennett,Scooter Gennett,CIN,L,28,0.050868124,0.258461156,0.149893494,0.039144078,0.00277614,0.02094304,0.477913967
571697,10339,1,vL,2018,1-vL-571697,Scooter,Gennett,Scooter Gennett,CIN,L,28,0.050357073,0.250300408,0.154069251,0.041665195,0.003004055,0.018905866,0.481698152
547912,10340,0,vL,2018,0-vL-547912,Gift,Ngoepe,Gift Ngoepe,TOR,R,28,0.092296721,0.338869807,0.113940713,0.042107052,0.006243459,0.018420625,0.388121623
547912,10340,1,vL,2018,1-vL-547912,Gift,Ngoepe,Gift Ngoepe,TOR,R,28,0.092964626,0.333187775,0.120038976,0.04040341,0.005924027,0.017462327,0.39001886
571974,10346,0,vL,2018,0-vL-571974,John Ryan,Murphy,John Ryan Murphy,ARI,R,27,0.081335627,0.193353022,0.144725316,0.048627706,0.002315605,0.024313853,0.505328871
571974,10346,1,vL,2018,1-vL-571974,John Ryan,Murphy,John Ryan Murphy,ARI,R,27,0.08249343,0.193642472,0.145304217,0.04602265,0.001736704,0.024313853,0.506486674
572000,10347,0,vL,2018,0-vL-572000,Mike,Ohlman,Mike Ohlman,TOR,R,27,0.103407238,0.302618242,0.120743158,0.041667034,0.002128973,0.026460087,0.402975268
572000,10347,1,vL,2018,1-vL-572000,Mike,Ohlman,Mike Ohlman,TOR,R,27,0.104319655,0.29744788,0.126825936,0.04014634,0.001824834,0.024939393,0.404495963
570267,10348,0,vL,2018,0-vL-570267,Domingo,Santana,Domingo Santana,MIL,R,25,0.139697103,0.255731289,0.130438803,0.047354167,0.001196864,0.050638585,0.374943189
570267,10348,1,vL,2018,1-vL-570267,Domingo,Santana,Domingo Santana,MIL,R,25,0.136549868,0.253247597,0.13724721,0.047915321,0.001122309,0.046640422,0.377277273
571830,10349,0,vL,2018,0-vL-571830,Tommy,Joseph,Tommy Joseph,PHI,R,26,0.072757257,0.220035124,0.132026952,0.047335566,0.001524042,0.054936882,0.471384177
571830,10349,1,vL,2018,1-vL-571830,Tommy,Joseph,Tommy Joseph,PHI,R,26,0.071690847,0.214155177,0.135960912,0.04879873,0.001757057,0.051687272,0.475950005
588751,10459,0,vL,2018,0-vL-588751,Adeiny,Hechavarria,Adeiny Hechavarria,TBA,R,29,0.068944203,0.163585609,0.171730698,0.039801566,0.007167184,0.015411066,0.533359673
588751,10459,1,vL,2018,1-vL-588751,Adeiny,Hechavarria,Adeiny Hechavarria,TBA,R,29,0.069201222,0.161074085,0.176014337,0.042753032,0.00709386,0.016394374,0.527469091
571771,10472,0,vL,2018,0-vL-571771,Enrique,Hernandez,Enrique Hernandez,LAN,R,26,0.117012496,0.212420529,0.123376687,0.049493357,0.002919552,0.035415699,0.45936168
571771,10472,1,vL,2018,1-vL-571771,Enrique,Hernandez,Enrique Hernandez,LAN,R,26,0.122179732,0.21030744,0.125665359,0.050163563,0.003827931,0.034990866,0.45286511
596144,10473,0,vL,2018,0-vL-596144,Cheslor,Cuthbert,Cheslor Cuthbert,KCA,R,25,0.082301768,0.176318629,0.157563943,0.052670595,0.002962678,0.029870217,0.49831217
596144,10473,1,vL,2018,1-vL-596144,Cheslor,Cuthbert,Cheslor Cuthbert,KCA,R,25,0.082759854,0.183309437,0.153247497,0.051268043,0.002735831,0.031580111,0.495099228
502570,10533,0,vL,2018,0-vL-502570,Rocky,Gale,Rocky Gale,SDN,R,30,0.063960333,0.182948477,0.161539992,0.036637621,0.002748076,0.010431474,0.541734026
502570,10533,1,vL,2018,1-vL-502570,Rocky,Gale,Rocky Gale,SDN,R,30,0.063618736,0.179175607,0.167046342,0.039773181,0.002732781,0.011033094,0.536620258
518618,10542,0,vL,2018,0-vL-518618,Derek,Dietrich,Derek Dietrich,MIA,L,28,0.063376299,0.243315714,0.141470046,0.041273756,0.005388858,0.018127948,0.487047379
518618,10542,1,vL,2018,1-vL-518618,Derek,Dietrich,Derek Dietrich,MIA,L,28,0.062836341,0.247505757,0.138726449,0.041562508,0.004627195,0.020947533,0.483794218
514917,10556,0,vL,2018,0-vL-514917,Cesar,Hernandez,Cesar Hernandez,PHI,B,28,0.088876304,0.167090338,0.193317674,0.045123439,0.005174506,0.009073016,0.491344724
514917,10556,1,vL,2018,1-vL-514917,Cesar,Hernandez,Cesar Hernandez,PHI,B,28,0.08757188,0.162673557,0.198718513,0.045633509,0.005659974,0.008484768,0.491257799
518490,10607,0,vL,2018,0-vL-518490,Bryce,Brentz,Bryce Brentz,BOS,R,29,0.080477438,0.255260076,0.138526128,0.048658304,0.002054562,0.042429499,0.432593992
518490,10607,1,vL,2018,1-vL-518490,Bryce,Brentz,Bryce Brentz,BOS,R,29,0.080569136,0.255831526,0.134222976,0.044521272,0.00237484,0.040744386,0.441735864
571679,10619,0,vL,2018,0-vL-571679,David,Freitas,David Freitas,SEA,R,29,0.078077188,0.185120144,0.144496485,0.046580431,0.001482802,0.020017825,0.524225125
571679,10619,1,vL,2018,1-vL-571679,David,Freitas,David Freitas,SEA,R,29,0.080199129,0.181029656,0.148408015,0.048574544,0.001636195,0.02068253,0.519469933
595025,10622,0,vL,2018,0-vL-595025,Zach,Walters,Zach Walters,LAN,B,28,0.047373573,0.225108466,0.13876089,0.048381521,0.002015897,0.031582382,0.506777271
595025,10622,1,vL,2018,1-vL-595025,Zach,Walters,Zach Walters,LAN,B,28,0.049725452,0.223764535,0.141784735,0.049725452,0.002351879,0.031246399,0.501401547
542208,10642,0,vL,2018,0-vL-542208,Carlos,Perez,Carlos Perez,LAA,R,27,0.079800133,0.167027605,0.15637425,0.04851528,0.002625827,0.022069451,0.523587455
542208,10642,1,vL,2018,1-vL-542208,Carlos,Perez,Carlos Perez,LAA,R,27,0.082288417,0.164076676,0.155786565,0.050240823,0.002900914,0.02343238,0.521274226
542963,10655,0,vL,2018,0-vL-542963,Rob,Brantly,Rob Brantly,CHA,L,28,0.043393183,0.218267711,0.148838618,0.032110956,0.002169659,0.018225137,0.536994736
542963,10655,1,vL,2018,1-vL-542963,Rob,Brantly,Rob Brantly,CHA,L,28,0.040789592,0.213060529,0.154479732,0.032544887,0.002169659,0.016923341,0.540032259
570482,10681,0,vL,2018,0-vL-570482,Giovanny,Urshela,Giovanny Urshela,CLE,R,26,0.056843935,0.155461249,0.164858795,0.050045433,0.002169665,0.024354251,0.546266672
570482,10681,1,vL,2018,1-vL-570482,Giovanny,Urshela,Giovanny Urshela,CLE,R,26,0.057318854,0.153431457,0.165886703,0.048331169,0.002612056,0.025466733,0.546953028
534606,10700,0,vL,2018,0-vL-534606,Ryan,LaMarre,Ryan LaMarre,OAK,R,29,0.078573745,0.291629478,0.143548189,0.037171426,0.003928687,0.02115447,0.423994005
534606,10700,1,vL,2018,1-vL-534606,Ryan,LaMarre,Ryan LaMarre,OAK,R,29,0.078271539,0.299486853,0.142037155,0.036264806,0.003928687,0.021758883,0.418252077
570489,10711,0,vL,2018,0-vL-570489,Arismendy,Alcantara,Arismendy Alcantara,CIN,B,26,0.05227666,0.274099246,0.139522168,0.044505805,0.00529831,0.019780358,0.464517453
570489,10711,1,vL,2018,1-vL-570489,Arismendy,Alcantara,Arismendy Alcantara,CIN,B,26,0.051570219,0.265621949,0.143054374,0.046625129,0.006004752,0.018014255,0.469109322
572816,10762,0,vL,2018,0-vL-572816,Corey,Dickerson,Corey Dickerson,TBA,L,29,0.050514622,0.280164498,0.145723941,0.047309971,0.003387145,0.025301337,0.447598486
572816,10762,1,vL,2018,1-vL-572816,Corey,Dickerson,Corey Dickerson,TBA,L,29,0.050739722,0.275873404,0.146897725,0.049430309,0.0035739,0.025356724,0.448128216
572669,10767,0,vL,2018,0-vL-572669,Lane,Adams,Lane Adams,ATL,R,28,0.086797309,0.295005369,0.138485823,0.039559192,0.004008465,0.026196345,0.409947496
572669,10767,1,vL,2018,1-vL-572669,Lane,Adams,Lane Adams,ATL,R,28,0.085593895,0.285626707,0.140325424,0.041112265,0.004288193,0.027752333,0.415301182
573135,10807,0,vL,2018,0-vL-573135,Tyler,Saladino,Tyler Saladino,CHA,R,28,0.081157467,0.194723121,0.156318291,0.042028405,0.004015868,0.020534399,0.501222449
573135,10807,1,vL,2018,1-vL-573135,Tyler,Saladino,Tyler Saladino,CHA,R,28,0.075722104,0.190806231,0.157997303,0.044566839,0.004981511,0.01914508,0.506780932
595777,10815,0,vL,2018,0-vL-595777,Jurickson,Profar,Jurickson Profar,TEX,B,25,0.080062773,0.147745746,0.173071836,0.046365615,0.001537101,0.015197819,0.536019109
595777,10815,1,vL,2018,1-vL-595777,Jurickson,Profar,Jurickson Profar,TEX,B,25,0.078514847,0.15083799,0.169221866,0.04609139,0.001403597,0.014710709,0.539219599
576397,10816,0,vL,2018,0-vL-576397,Jedd,Gyorko,Jedd Gyorko,SLN,R,29,0.104727215,0.196214764,0.14150983,0.042096216,0.002767488,0.049278534,0.463405954
576397,10816,1,vL,2018,1-vL-576397,Jedd,Gyorko,Jedd Gyorko,SLN,R,29,0.105936031,0.200600641,0.139509011,0.040740822,0.002880286,0.051998369,0.45833484
592239,10822,0,vL,2018,0-vL-592239,Todd,Cunningham,Todd Cunningham,LAA,B,29,0.066061172,0.179671869,0.164789957,0.041016002,0.001814867,0.00943731,0.537208822
592239,10822,1,vL,2018,1-vL-592239,Todd,Cunningham,Todd Cunningham,LAA,B,29,0.067876039,0.176768081,0.165515904,0.04283087,0.002177841,0.010163257,0.534668008
592743,10847,0,vL,2018,0-vL-592743,Andrelton,Simmons,Andrelton Simmons,LAA,R,28,0.084079329,0.092220836,0.171715331,0.05062673,0.002388868,0.022631247,0.576337659
592743,10847,1,vL,2018,1-vL-592743,Andrelton,Simmons,Andrelton Simmons,LAA,R,28,0.086640315,0.090584741,0.170660539,0.052262176,0.002629833,0.023857506,0.573364889
592419,10882,0,vL,2018,0-vL-592419,Jared,Hoying,Jared Hoying,TEX,L,29,0.0560441,0.266540443,0.136800559,0.039274999,0.003089045,0.018092977,0.480157877
592419,10882,1,vL,2018,1-vL-592419,Jared,Hoying,Jared Hoying,TEX,L,29,0.055161516,0.271835949,0.132387637,0.039274999,0.002647753,0.017210393,0.481481754
594807,10950,0,vL,2018,0-vL-594807,Adam,Duvall,Adam Duvall,CIN,R,29,0.078827392,0.256489479,0.114986751,0.047254344,0.003396119,0.054298022,0.444747894
594807,10950,1,vL,2018,1-vL-594807,Adam,Duvall,Adam Duvall,CIN,R,29,0.078068637,0.248462743,0.118052784,0.048846067,0.003846387,0.048858251,0.453865132
594824,10951,0,vL,2018,0-vL-594824,Greg,Garcia,Greg Garcia,SLN,L,28,0.096474032,0.238202455,0.158630577,0.033835245,0.002837043,0.005998008,0.464022639
594824,10951,1,vL,2018,1-vL-594824,Greg,Garcia,Greg Garcia,SLN,L,28,0.097627776,0.243539882,0.157020068,0.034697823,0.002918934,0.00614905,0.458046468
594838,10953,0,vL,2018,0-vL-594838,Phil,Gosselin,Phil Gosselin,TEX,R,29,0.06399706,0.195990997,0.176563318,0.048854899,0.004571219,0.011713748,0.49830876
594838,10953,1,vL,2018,1-vL-594838,Phil,Gosselin,Phil Gosselin,TEX,R,29,0.062854256,0.199990813,0.173134904,0.048569198,0.003999816,0.011428046,0.500022967
595023,10961,0,vL,2018,0-vL-595023,Colin,Walsh,Colin Walsh,MIL,B,28,0.128371969,0.256389319,0.135464343,0.040071913,0.001418475,0.016667079,0.421616902
595023,10961,1,vL,2018,1-vL-595023,Colin,Walsh,Colin Walsh,MIL,B,28,0.125535019,0.253906988,0.137946674,0.040426532,0.001418475,0.015248604,0.425517708
594828,11003,0,vL,2018,0-vL-594828,Evan,Gattis,Evan Gattis,HOU,R,31,0.075483455,0.180761466,0.131906655,0.050676359,0.002316298,0.059778047,0.49907772
594828,11003,1,vL,2018,1-vL-594828,Evan,Gattis,Evan Gattis,HOU,R,31,0.074768885,0.17606468,0.135306315,0.050518911,0.002128572,0.05774455,0.503468088
400085,1101,0,vL,2018,0-vL-400085,Ichiro,Suzuki,Ichiro Suzuki,MIA,L,44,0.067135135,0.172693524,0.189582867,0.032511984,0.003800102,0.00717797,0.527098417
400085,1101,1,vL,2018,1-vL-400085,Ichiro,Suzuki,Ichiro Suzuki,MIA,L,44,0.066712902,0.176071393,0.187893932,0.032934217,0.003377868,0.008444671,0.524565016
595281,11038,0,vL,2018,0-vL-595281,Kevin,Kiermaier,Kevin Kiermaier,TBA,L,28,0.069232273,0.242092091,0.149827385,0.03943075,0.004731643,0.020923703,0.473762156
595281,11038,1,vL,2018,1-vL-595281,Kevin,Kiermaier,Kevin Kiermaier,TBA,L,28,0.069545457,0.238359597,0.151031038,0.041112359,0.00498406,0.020919028,0.474048461
518568,11145,0,vL,2018,0-vL-518568,Christian,Colon,Christian Colon,MIA,R,29,0.09464087,0.168795454,0.169083993,0.041838189,0.002019775,0.010098873,0.513522846
